Part No	Description	Bin Location 1	Stock	Last Receipt	Av Cost
15W40LCV	15W40 OIL	BULK OIL	900	10-06-25 15:17	52.91
1606267680	FILTERING PAD	E4	11	22-05-23 16:05	601.72
1606402680	AIR FILTER	E2	1	04-03-25 10:36	343.23
1607577780	SPARK-PLUG	E1	2	01-07-24 8:24	0.01
1609428080	BTCH OF FILTERS	E2	11	03-04-24 14:44	279.42
1609428180	CHARCOAL FILTER	E3	16	11-04-24 8:57	412.91
1609582880	2 DISCS KIT PRO	G5	1	01-07-24 8:24	0.01
1609907380	AIR FILTER	E3	3	07-07-22 9:50	0.01
1610699280	4 BRAKE PADS/F	g6	1	01-07-24 8:24	0.01
1610704680	FRONT DISKS KIT	G5	1	01-07-24 8:24	0.01
1610725580	BRAKE FLUID	LUBRICANT	126	17-12-24 11:59	94.35
1611187480	COVER-ENG BLK	g6	1	26-06-25 15:05	1069.27
1611718680	INJECTOR KIT	g6	5	08-08-23 14:04	0.01
1611909180	WASHER LIQUID	LUBRICANT	82	11-01-24 14:28	44.37
1612163180	E:V BELT	G5	1	08-08-23 14:04	0.01
1612435380	BRAKE DISC	G5	2	08-08-23 14:04	0.01
1612866580	E:AIR FLT ELT	E2	1	29-05-25 11:21	137.31
1612889480	E:EL AIR FILTER	E3	3	29-11-23 14:02	135.77
1612920180	E:POL FILTER	E3	1	13-11-24 15:06	130.77
1613215680	FLAT BLADE	hang	3	11-11-24 15:34	384.14
1615099980	OIL	LUBRICANT	89	05-06-25 15:36	249.43
1615646880	CHARCOAL FILTER	E2	7	08-05-24 13:56	478.52
1616399880	OIL FILTER	E4	7	06-03-25 10:50	151.33
1616854180	DRN PLUG GASKET	E4	5	01-11-24 8:32	147.64
1617039680	FLAT BLADE	hang	2	26-10-23 15:30	263.18
1621267280	ACCESSORY KIT	g6	1	23-09-24 14:29	1045.56
1622749580	RIVET	g6	28	07-07-22 9:50	0.01
1622750380	HOG RING	g6	35	08-08-23 14:04	0.01
1623096280	E:COOLANT PUMP	g6	2	04-03-25 10:35	887
1623335480	E:RR SH ABS PSA	g6	2	01-07-24 8:24	0.01
1625938680	E:SPARK PLUG	E1	8	06-09-24 13:33	43.16
1630633180	BRAKE DISC	G5	2	01-07-24 8:24	0.01
1631806280	BUMPR DEFLECTOR	g6	1	08-05-25 9:03	4924.13
1631831780	4 BRAKE PADS/R	g6	1	13-11-24 15:06	1174.88
1632745480	SPARK-PLUG	E1	9	22-10-24 13:43	67.57
1635155780	WIPER BLADE	FLOOR	4	30-06-25 14:34	170.15
1635771880	E:SUSP BALL JT (W)	g6	1	07-07-22 9:50	0.01
