Part No,Description,Bin Location 1,Stock,Last Receipt,Av Cost
1312A4,FLANGE,G5,8,08-08-2023 14:04:06,0.01
13141999,CVR MIRROR HOUSING RH PRIMED,E5,1,07-07-2022 09:50:44,0.01
13144822,SCREW,E5,1,07-07-2022 09:50:44,0.01
1319N4,O-RING,G5,2,26-03-2021 12:32:47,48.89
1319N5,CIRCLIP,G5,1,01-07-2024 08:24:19,0.01
13214182,ACTUATOR ASM-R/CMPT,WORKSHOP,1,08-08-2023 14:04:06,0.01
1324408TBW0100,OIL SEAL OF FILTER COVER,G1,8,17-01-2025 08:46:29,43.54
1324409TBW0100,LOCK PIN?POSITION PLATE,G1,8,17-01-2025 08:46:29,286.41
13271190,FILTER- PASS COMPT AIR,E2,1,05-08-2024 08:02:52,83.56
13272717,ELEMENT- A/CL,E2,6,05-12-2022 10:00:58,221.51
13278000A,GLOBE D/TIME RUNNING,E1,25,07-07-2022 09:50:44,0.01
13334021,BUSHING- FRT LWR CONT ARM RR (PART OF 10,E5,2,07-07-2022 09:50:44,0.01
1336L1,SCREW WITH BASE,G5,8,30-01-2023 09:34:37,8.97
1338A0,THERMO FITTING,G5,1,07-07-2022 09:50:44,0.01
13390573,HARNESS ASSY TRAILER,E5,1,07-07-2022 09:50:44,0.01
134089,O-RING,G5,3,01-07-2024 08:24:19,0.01
13450275,CAP- BLANKING- 24MM,E5,4,07-07-2022 09:50:44,0.01
13465094,TANK-RAD SURGE-CRUZE-12-17,E5,2,14-10-2024 14:30:02,1077.27
13470637,SENSOR-FRT WHL CRUZE-16,E5,1,09-12-2024 15:07:00,1151.49
13502059,BRAKE DISC,E5,2,08-08-2023 14:04:06,0.01
13502398,MIRROR MOTOR,E5,1,08-08-2023 14:04:06,0.01
13507405,VALVE-TYRE-KIT-(FOR,E5,1,01-07-2024 08:24:19,0.01
1351VF,BYPASS PIPE,G5,1,08-04-2025 08:45:13,516.74
13581561,SENSOR TIRE PRESS IN,E5,1,25-04-2025 14:02:23,2410.04
1359644080,FILTERING ELEMENT,E9,4,28-10-2024 09:00:19,448.92
1368127080,FUEL FILTER,NO-BIN,1,30-04-2025 08:20:39,3048.66
1444TT,AIR FILTER,E3,2,14-04-2025 16:08:28,270.8
1444TV,AIR FILTER (W),E3,4,02-05-2025 14:51:17,267.76
1444VK,AIR FILTER,E3,2,01-07-2024 08:24:19,0.01
1444VL,AIR FILTER,G2,9,01-07-2024 08:24:19,0.01
1444XE,AIR FILTER,E3,2,08-08-2023 14:04:06,0.01
1444XF,AIR FILTER,E3,6,31-05-2021 15:38:11,226.03
14457081,SEALING GASKET,E7,1,28-10-2024 11:04:57,76.63
14463980,SEAL,E7,4,14-11-2024 14:13:49,50.94
15208AA031,OIL FILTER COMPLETE,g7,4,30-03-2023 13:48:41,146.34
15208AA100,ELEM CP-OIL FLTR,g7,3,07-03-2025 13:55:29,102.35
15208AA110,ELEM CP-OIL FLTR,g7,1,23-08-2024 09:25:41,166.74
15208AA130,ELEM CP-OIL FLTR,g7,15,17-08-2023 12:11:30,20.33
15208AA160,ELEM CP-OIL FLTR,g7,13,12-05-2025 12:57:45,127.42
15208AA170,ELEM CP-OIL FLTR,g7,3,23-10-2024 15:57:24,126.37
1567C6,FUEL FILTER,E4,5,14-04-2025 16:08:28,156.47
15778699,SEAL-FUEL PRESS SEN,E5,4,08-08-2023 14:04:06,0.01
1606267680,FILTERING PAD,E4,12,22-05-2023 16:05:03,601.72
1606402680,AIR FILTER,E2,3,04-03-2025 10:36:30,343.23
1606466680,PULLEY SCREW,g6,1,07-07-2022 09:50:44,0.01
1607397880,FRONT BUMPER,Container,1,11-01-2024 09:08:42,6447.35
1607577780,SPARK-PLUG,E1,2,01-07-2024 08:24:19,0.01
1608378180,FIXING ASSEMBLY,G4,1,02-04-2025 16:22:53,358.76
1608733780,BAG OF 3 SEALS,g6,1,02-04-2025 16:23:24,340.79
1608747480,MOTOR KIT,g6,1,06-05-2024 13:20:39,2280.9
1609428080,BTCH OF FILTERS,E2,8,03-04-2024 14:44:14,279.42
1609428180,CHARCOAL FILTER,E3,7,11-04-2024 08:57:51,412.91
1609582880,2 DISCS KIT PRO,G5,1,01-07-2024 08:24:19,0.01
1609907380,AIR FILTER,E3,3,07-07-2022 09:50:44,0.01
1609998780,E:2 PC FILT SET (W),E3,1,01-07-2024 08:24:19,0.01
